family,spec,year,n,gross_mean,net2_mean,top1_removed_gross,positive_contracts,status
Tick-level Aggressive Proxy,"15s q0.001 H240",2024,1093,0.88,-1.12,-0.30,,REJECT
Tick-level Aggressive Proxy,"15s q0.001 H240",2025,1459,1.42,-0.58,0.13,,REJECT
Tick-level Aggressive Proxy,"15s q0.001 H240",2026,969,-2.26,-4.26,-5.19,,REJECT
Raw TRSV,"20s q0.001 H300",2024,,1.07,-0.93,-0.26,,REJECT_LIVE
Raw TRSV,"20s q0.001 H300",2025,1167,2.45,0.45,-0.15,,REJECT_LIVE
Raw TRSV,"20s q0.001 H300",2026,926,2.87,0.87,-0.69,,REJECT_LIVE
Price-only,"30s q0.0005 H300",2024,1179,2.44,0.44,0.47,6/9,PAPER_TRADING_CANDIDATE
Price-only,"30s q0.0005 H300",2025,854,2.97,0.97,-0.57,6/9,PAPER_TRADING_CANDIDATE
Price-only,"30s q0.0005 H300",2026,1410,4.86,2.86,0.72,7/8,PAPER_TRADING_CANDIDATE
Price-only,"30s q0.0005 H300",Combined,3443,3.56,1.56,,19/26,PAPER_TRADING_CANDIDATE
