strategy,param,N,gross_mean,gross_ci_lo,gross_ci_hi,net1_mean,net1_ci_lo,net1_ci_hi,net2_mean,net2_ci_lo,net2_ci_hi
VWAP_MR,Z2.5_STOP_Z3.5_TARGET_VWAP,92,0.21490350312816653,-0.13941901980178703,0.5867483216480709,0.12358559224963529,-0.24117293572845575,0.5090887217964292,0.032267681371104015,-0.3565972056061027,0.43249417226588305
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN3m_1R,215,0.0670425182053089,-0.06976744186046512,0.2,0.019966681134138287,-0.11590294175141927,0.15225876122973955,-0.027109155937032368,-0.16264037682852653,0.10518133670119041
VWAP_MR,Z1.5_STOP_Z2.5_TARGET_VWAP,232,0.123960485234509,-0.11980154391898716,0.4177526281484422,0.012347884719447252,-0.23657149650267179,0.3094360966998224,-0.09926471579561452,-0.3564152160073075,0.20138232887880902
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN5m_1R,215,0.050480752966609053,-0.08102461037051407,0.17948552028795287,0.00550096194054863,-0.12604661198854789,0.13420734399996423,-0.039478829085511785,-0.17114483769849306,0.09026779968332836
ORB,OR60_STOP1OR_2R,196,0.01215374669222511,-0.08531078549760357,0.11939690955234844,0.004369401019799104,-0.09330251647629619,0.11133695206708087,-0.003414944652626903,-0.10090665860473592,0.1036408836996882
ORB,OR15_STOP0.5OR_2R,237,0.026571095776958067,-0.14778403404106047,0.20712051192828307,0.00019717508222416908,-0.1736590964044769,0.18091912033239532,-0.026176745612509694,-0.2002677812245345,0.1550937749408729
ORB,OR30_STOP1OR_2R,229,0.005094596192332738,-0.12135571443501632,0.1388547463269901,-0.004814109558864543,-0.1311085631793914,0.12924140213638766,-0.014722815310061827,-0.14093321925310803,0.11937372254409848
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN10m_1R,215,0.035412194397842225,-0.09358680641432586,0.1661313019675327,-0.008361983824790352,-0.1382037166378645,0.1223577721673646,-0.052136162047422954,-0.18326118337587033,0.07905256429023698
ORB,OR15_STOP1OR_2R,237,-0.006246520805412763,-0.16623383912543335,0.15110376484593732,-0.02073681412591227,-0.18061358403679037,0.13707435586991004,-0.035227107446411755,-0.1949593244716408,0.12267339104360753
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN1m_1R,214,0.028037383177570093,-0.102803738317757,0.1588785046728972,-0.022998106656992492,-0.15226065435302333,0.10956374413606873,-0.07403359649155511,-0.2028994183270225,0.05964192693920597
ORB,OR60_STOP0.5OR_2R,196,-0.01140799990913148,-0.1616425077116606,0.14445915612804194,-0.026082821304898765,-0.17656417497733745,0.12935435889209526,-0.04075764270066596,-0.19122746197805823,0.11546778276634159
ORB,OR5_STOP0.5OR_2R,239,-0.0019512298546503952,-0.17577081909299264,0.18185683302479744,-0.036380109763636134,-0.20999803406870293,0.1481659587802661,-0.07080898967262193,-0.24436467418132954,0.11367888803110769
ORB,OR30_STOP0.5OR_2R,229,-0.03445066009320402,-0.19849646281164815,0.13325091425825125,-0.052907904511204494,-0.216897720665781,0.11515586159747584,-0.071365148929205,-0.23541158322286201,0.09643735890629063
ORB,OR5_STOP1OR_2R,239,-0.040163787336994376,-0.21018768522796644,0.13174406878876369,-0.05927202772635806,-0.22937986458111825,0.11258882909581629,-0.0783802681157218,-0.2484120340329906,0.09311371714766456
VWAP_MR,Z2_STOP_Z3_TARGET_VWAP,198,-0.19236167681175034,-0.39795191423893367,0.018295130941570963,-0.2522250969481495,-0.45742407059738105,-0.03977727471389438,-0.31208851708454866,-0.5175229089661574,-0.09849860254580144
VWAP_MR,Z3_STOP_Z4_TARGET_VWAP,9,-0.4897445165064693,-1.0,0.26328284559121495,-0.5387327794019267,-1.0638789386048877,0.22125848050243915,-0.587721042297384,-1.1277578772097752,0.17888445672807446
