strategy,param,side,N,AvgR,Net1AvgR,WinRate
VWAP_MR,Z2.5_STOP_Z3.5_TARGET_VWAP,LONG,50,0.4483483353791755,0.3811239958473772,0.44
VWAP_MR,Z2.5_STOP_Z3.5_TARGET_VWAP,SHORT,42,-0.06300701145636782,-0.18300774536672404,0.23809523809523808
VWAP_MR,Z1.5_STOP_Z2.5_TARGET_VWAP,LONG,113,0.20023560167233234,0.05534998858054999,0.3185840707964602
VWAP_MR,Z1.5_STOP_Z2.5_TARGET_VWAP,SHORT,119,0.051531172986827974,-0.02848604583773439,0.3277310924369748
ORB,OR60_STOP1OR_2R,LONG,102,0.06735709221975351,0.05970764377588246,0.5490196078431373
ORB,OR60_STOP1OR_2R,SHORT,94,-0.047747755901475876,-0.055678479417653054,0.4574468085106383
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN3m_1R,LONG,95,0.046464646464646465,0.0034619122508090586,0.5263157894736842
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN3m_1R,SHORT,120,0.05,-0.00030037683322608664,0.525
ORB,OR15_STOP0.5OR_2R,LONG,133,0.027720372363329606,0.0007084815706342514,0.3458646616541353
ORB,OR15_STOP0.5OR_2R,SHORT,104,0.025101347834771366,-0.0004567072539156157,0.34615384615384615
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN5m_1R,LONG,95,0.02253258874078039,-0.01711498333289642,0.5157894736842106
FAILED_BREAKOUT,OR15_BUF10pctMin2_WIN5m_1R,SHORT,120,0.05593971631205674,0.006738585282025955,0.525
