scope,target,n,events,auc
ALL,cat_mae5,1079,21,0.7330542803132595
ALL,cat_range50,1079,11,0.787197820905686
ALL,loss3,1079,42,0.7419295587087293
Day,cat_mae5,730,18,0.7383739076154806
Day,cat_range50,730,9,0.7474187085837571
Day,loss3,730,34,0.7293779580797837
Night,cat_mae5,349,3,0.7133911368015414
Night,cat_range50,349,2,0.9755043227665706
Night,loss3,349,8,0.7960043988269795
2024,cat_mae5,415,12,0.7330438378825476
2024,cat_range50,415,6,0.8184596577017115
2024,loss3,415,21,0.7226855209088712
2025,cat_mae5,198,3,0.7931623931623931
2025,cat_range50,198,3,0.7931623931623931
2025,loss3,198,5,0.7854922279792746
2026,cat_mae5,466,6,0.7384057971014493
2026,cat_range50,466,2,0.712823275862069
2026,loss3,466,16,0.7669444444444444
