N,Net,E,PF,Win,MaxDD,Stops,Stop
1112,8426.0,7.577338129496403,1.3064891604830495,0.5467625899280576,-1235.0,0,None
2486,-2399.0,-0.9650040225261464,0.9127350769342694,0.14360418342719228,-3376.0,2120,10
2162,-271.0,-0.1253469010175763,0.9910708401976935,0.20814061054579094,-3152.0,1691,15
1951,2429.0,1.2450025627883137,1.0753879577901924,0.26499231163505893,-2068.0,1383,20
1728,3658.0,2.1168981481481484,1.1032458368614169,0.33969907407407407,-1718.0,1029,30
1554,4192.0,2.6975546975546973,1.117825622575749,0.3983268983268983,-2280.0,774,40
1428,3989.0,2.7934173669467786,1.1130188411956368,0.43487394957983194,-1539.0,598,50
1283,5804.0,4.523772408417771,1.169168439767991,0.4886983632112237,-1952.0,342,75
1213,5764.0,4.751854905193735,1.1713283595398745,0.5103050288540808,-2645.0,214,100
1171,7614.0,6.502134927412468,1.2403712589973481,0.5269000853970965,-1530.0,135,125
1148,7081.0,6.168118466898955,1.2282868012121995,0.5357142857142857,-1549.0,92,150
1129,7375.0,6.532329495128432,1.2438500198386457,0.5411868910540301,-1354.0,41,200
1117,8394.0,7.514771709937333,1.2961159911101703,0.5452103849597135,-1597.0,11,300
