year,cost_points,pf,expectancy,total_points,maxdd,recovery
2024,0,1.151793573943662,2.3204373423044573,2759.0,1314.0,2.099695585996956
2025,0,1.134843205574913,2.562913907284768,2709.0,1775.0,1.5261971830985916
2026,0,1.155231752558888,4.929737402413059,6946.0,2970.0,2.3387205387205388
ALL,0,1.149544644147834,3.396443228454173,12414.0,2970.0,4.179797979797979
2024,1,1.0837914287239152,1.3204373423044575,1570.0,1469.0,1.0687542545949626
2025,1,1.0802058552216345,1.5629139072847682,1652.0,1962.0,0.8419979612640163
2026,1,1.1220356166798906,3.9297374024130582,5537.0,3028.0,1.8285997357992076
ALL,1,1.1034047174934478,2.396443228454173,8759.0,3028.0,2.892668428005284
2024,2,1.019728666114333,0.3204373423044575,381.0,1860.0,0.2048387096774193
2025,2,1.028183023872679,0.5629139072847682,595.0,2149.0,0.2768729641693811
2026,2,1.0897274268573665,2.9297374024130587,4128.0,3086.0,1.337653920933247
ALL,2,1.0590535693624898,1.3964432284541723,5104.0,3086.0,1.6539209332469216
2024,3,0.959427567160432,-0.6795626576955425,-808.0,2543.0,-0.3177349587101848
2025,3,0.9786496603355054,-0.4370860927152318,-462.0,2336.0,-0.1977739726027397
2026,3,1.0582876007545876,1.929737402413059,2719.0,3366.0,0.8077837195484254
ALL,3,1.0164281989070545,0.3964432284541723,1449.0,3549.0,0.408284023668639
