year,trade_month,Trades,Net2,Gross
2024,2024-03,34,33.0,101.0
2024,2024-04,204,-874.0,-466.0
2024,2024-05,83,311.0,477.0
2024,2024-06,111,-51.0,171.0
2024,2024-07,235,208.0,678.0
2024,2024-08,439,539.0,1417.0
2024,2024-09,27,-36.0,18.0
2024,2024-10,8,243.0,259.0
2024,2024-11,27,-25.0,29.0
2024,2024-12,21,33.0,75.0
2025,2025-01,50,28.0,128.0
2025,2025-02,33,8.0,74.0
2025,2025-03,118,391.0,627.0
2025,2025-04,382,-484.0,280.0
2025,2025-05,9,-175.0,-157.0
2025,2025-07,27,-354.0,-300.0
2025,2025-08,47,195.0,289.0
2025,2025-09,73,84.0,230.0
2025,2025-10,143,758.0,1044.0
2025,2025-11,157,230.0,544.0
2025,2025-12,18,-86.0,-50.0
2026,2026-01,127,240.0,494.0
2026,2026-02,173,614.0,960.0
2026,2026-03,607,458.0,1672.0
2026,2026-04,91,-388.0,-206.0
2026,2026-05,87,-159.0,15.0
2026,2026-06,213,926.0,1352.0
2026,2026-07,96,1681.0,1873.0
2026,2026-08,15,756.0,786.0
