trade_month,trades,gross_points,net2_points,avg_net2,net2_ntd,gross_ntd
2024-03,34,101.0,33.0,0.9705882352941176,1650.0,5050.0
2024-04,204,-466.0,-874.0,-4.284313725490196,-43700.0,-23300.0
2024-05,83,477.0,311.0,3.746987951807229,15550.0,23850.0
2024-06,111,171.0,-51.0,-0.4594594594594595,-2550.0,8550.0
2024-07,235,678.0,208.0,0.8851063829787233,10400.0,33900.0
2024-08,439,1417.0,539.0,1.2277904328018223,26950.0,70850.0
2024-09,27,18.0,-36.0,-1.3333333333333333,-1800.0,900.0
2024-10,8,259.0,243.0,30.375,12150.0,12950.0
2024-11,27,29.0,-25.0,-0.925925925925926,-1250.0,1450.0
2024-12,21,75.0,33.0,1.5714285714285714,1650.0,3750.0
2025-01,50,128.0,28.0,0.56,1400.0,6400.0
2025-02,33,74.0,8.0,0.2424242424242424,400.0,3700.0
2025-03,118,627.0,391.0,3.3135593220338984,19550.0,31350.0
2025-04,382,280.0,-484.0,-1.2670157068062826,-24200.0,14000.0
2025-05,9,-157.0,-175.0,-19.444444444444443,-8750.0,-7850.0
2025-06,0,0.0,0.0,0.0,0.0,0.0
2025-07,27,-300.0,-354.0,-13.11111111111111,-17700.0,-15000.0
2025-08,47,289.0,195.0,4.148936170212766,9750.0,14450.0
2025-09,73,230.0,84.0,1.1506849315068493,4200.0,11500.0
2025-10,143,1044.0,758.0,5.300699300699301,37900.0,52200.0
2025-11,157,544.0,230.0,1.464968152866242,11500.0,27200.0
2025-12,18,-50.0,-86.0,-4.777777777777778,-4300.0,-2500.0
2026-01,127,494.0,240.0,1.889763779527559,12000.0,24700.0
2026-02,173,960.0,614.0,3.5491329479768785,30700.0,48000.0
2026-03,607,1672.0,458.0,0.7545304777594728,22900.0,83600.0
2026-04,91,-206.0,-388.0,-4.263736263736264,-19400.0,-10300.0
2026-05,87,15.0,-159.0,-1.827586206896552,-7950.0,750.0
2026-06,213,1352.0,926.0,4.347417840375587,46300.0,67600.0
2026-07,96,1873.0,1681.0,17.510416666666668,84050.0,93650.0
2026-08,15,786.0,756.0,50.4,37800.0,39300.0
