calendar_day,PnL,Trades
2026-03-09,978.0,53
2026-07-02,914.0,9
2026-06-08,909.0,18
2025-04-10,795.0,41
2026-06-29,747.0,11
2026-04-27,690.0,8
2026-03-02,644.0,27
2026-07-30,600.0,14
2026-07-06,586.0,5
2026-07-07,580.0,5
2026-03-23,578.0,16
2025-04-11,570.0,77
2024-08-07,517.0,46
2025-04-07,457.0,46
2026-06-02,376.0,7
2026-08-03,350.0,5
2026-06-17,338.0,5
2026-02-06,333.0,22
2026-05-18,332.0,7
2026-06-26,327.0,8
2025-10-17,326.0,8
2026-07-24,305.0,1
2026-05-20,296.0,2
2025-04-08,291.0,65
2025-10-07,267.0,10
2026-05-05,237.0,3
2026-05-14,236.0,3
2024-09-19,226.0,3
2026-08-12,225.0,2
2026-06-30,221.0,2
2026-07-27,219.0,2
2025-11-14,211.0,9
2025-08-01,196.0,4
2026-07-13,194.0,6
2025-03-07,192.0,10
2026-07-03,188.0,4
2024-08-08,188.0,52
2024-07-26,174.0,11
2025-11-11,173.0,7
2026-05-11,172.0,4
2026-02-11,172.0,11
2024-09-09,170.0,3
2025-03-14,170.0,4
2026-02-05,168.0,38
2024-07-31,166.0,15
2026-01-21,164.0,5
2026-04-13,163.0,1
2024-08-15,152.0,13
2026-06-01,149.0,6
2024-07-30,148.0,13
2024-07-01,148.0,9
2024-07-08,146.0,8
2025-03-05,146.0,15
2024-08-06,139.0,99
2025-04-12,130.0,4
2026-02-09,128.0,8
2025-08-04,127.0,3
2024-07-23,126.0,5
2026-02-25,126.0,9
2024-08-09,126.0,41
2024-07-17,125.0,13
2026-08-04,121.0,4
2024-07-16,120.0,20
2026-06-16,118.0,4
2025-09-25,117.0,3
2025-01-21,116.0,6
2025-12-01,116.0,2
2026-03-27,116.0,3
2026-07-09,116.0,1
2025-02-03,113.0,4
2024-05-23,112.0,8
2026-02-24,110.0,4
2024-08-12,108.0,18
2026-03-19,105.0,5
2026-01-05,105.0,6
2025-03-12,104.0,4
2024-06-19,102.0,8
2025-03-20,101.0,2
2025-10-20,99.0,5
2026-01-28,97.0,3
2025-10-14,93.0,24
2024-04-29,92.0,7
2026-05-04,91.0,8
2026-03-21,90.0,2
2024-11-28,89.0,2
2025-01-14,86.0,6
2025-01-20,85.0,2
2025-10-13,85.0,9
2024-04-24,85.0,4
2025-03-03,83.0,13
2025-11-26,82.0,4
2024-05-30,80.0,5
