calendar_month,PnL,Trades
2026-07,1681.0,96
2026-06,926.0,213
2025-10,758.0,143
2026-08,756.0,15
2026-02,614.0,173
2024-08,583.0,442
2026-03,532.0,604
2025-03,391.0,118
2024-05,328.0,86
2024-10,243.0,8
2026-01,240.0,127
2025-11,230.0,157
2025-08,195.0,47
2024-07,164.0,232
2025-09,84.0,73
2024-12,33.0,21
2024-03,33.0,34
2025-01,28.0,50
2025-02,8.0,33
2024-11,-25.0,27
2024-09,-36.0,27
2024-06,-51.0,111
2025-12,-86.0,18
2026-05,-111.0,88
2025-05,-175.0,9
2025-07,-354.0,27
2025-04,-484.0,382
2026-04,-510.0,93
2024-04,-891.0,201
