calendar_week,PnL,Trades
2026-06-29/2026-07-05,1435.0,33
2026-07-06/2026-07-12,985.0,17
2026-03-23/2026-03-29,783.0,40
2024-08-05/2024-08-11,725.0,336
2026-06-15/2026-06-21,584.0,17
2026-04-27/2026-05-03,536.0,20
2025-04-07/2025-04-13,531.0,338
2026-08-03/2026-08-09,459.0,12
2026-02-09/2026-02-15,402.0,31
2026-05-18/2026-05-24,385.0,21
2025-11-10/2025-11-16,367.0,30
2026-01-19/2026-01-25,357.0,24
2026-05-04/2026-05-10,319.0,22
2026-03-09/2026-03-15,300.0,233
2026-08-10/2026-08-16,297.0,3
2024-07-01/2024-07-07,270.0,27
2025-10-13/2025-10-19,262.0,66
2025-03-03/2025-03-09,249.0,65
2026-06-08/2026-06-14,237.0,114
2025-10-06/2025-10-12,229.0,21
2024-09-16/2024-09-22,226.0,3
2026-07-20/2026-07-26,226.0,9
2025-01-20/2025-01-26,201.0,10
2025-10-20/2025-10-26,199.0,18
2024-08-12/2024-08-18,190.0,61
2026-02-02/2026-02-08,173.0,103
2024-04-29/2024-05-05,161.0,38
2024-09-09/2024-09-15,155.0,8
2025-08-04/2025-08-10,120.0,9
2025-09-08/2025-09-14,104.0,7
2025-09-01/2025-09-07,101.0,24
2024-04-01/2024-04-07,98.0,12
2024-05-27/2024-06-02,97.0,15
2024-07-08/2024-07-14,95.0,49
2026-01-26/2026-02-01,94.0,50
2025-03-17/2025-03-23,87.0,10
2024-11-04/2024-11-10,87.0,11
2026-04-13/2026-04-19,87.0,6
2024-06-24/2024-06-30,85.0,43
2024-10-28/2024-11-03,79.0,2
2026-01-12/2026-01-18,77.0,30
2024-06-17/2024-06-23,75.0,22
2025-07-28/2025-08-03,74.0,19
2024-09-30/2024-10-06,73.0,1
2024-03-18/2024-03-24,72.0,8
2025-09-29/2025-10-05,71.0,21
2026-05-11/2026-05-17,71.0,23
2024-06-10/2024-06-16,71.0,24
2025-01-13/2025-01-19,64.0,29
2024-05-20/2024-05-26,59.0,13
2024-10-21/2024-10-27,57.0,2
2026-07-27/2026-08-02,55.0,33
2024-08-19/2024-08-25,46.0,8
2025-08-25/2025-08-31,41.0,9
2026-02-23/2026-03-01,39.0,39
2025-11-24/2025-11-30,38.0,18
2024-12-30/2025-01-05,38.0,4
2024-05-06/2024-05-12,35.0,19
2025-05-05/2025-05-11,33.0,5
2024-10-14/2024-10-20,32.0,1
2025-02-03/2025-02-09,29.0,12
2024-12-23/2024-12-29,29.0,3
2024-05-13/2024-05-19,28.0,14
2024-12-02/2024-12-08,26.0,2
2024-11-25/2024-12-01,15.0,10
2024-11-11/2024-11-17,12.0,3
2025-02-17/2025-02-23,11.0,1
2025-10-27/2025-11-02,10.0,21
2025-12-01/2025-12-07,8.0,6
2025-12-15/2025-12-21,7.0,4
2024-10-07/2024-10-13,2.0,2
2025-03-24/2025-03-30,0.0,4
2024-12-09/2024-12-15,-1.0,4
2025-02-10/2025-02-16,-2.0,10
2024-08-26/2024-09-01,-4.0,2
2025-11-17/2025-11-23,-13.0,69
2025-03-10/2025-03-16,-13.0,30
2025-02-24/2025-03-02,-30.0,10
2024-03-25/2024-03-31,-39.0,26
2024-12-16/2024-12-22,-51.0,10
2026-07-13/2026-07-19,-52.0,17
2025-04-21/2025-04-27,-52.0,6
2025-09-15/2025-09-21,-54.0,13
2025-07-07/2025-07-13,-65.0,2
2025-05-26/2025-06-01,-66.0,2
2025-08-11/2025-08-17,-73.0,11
2025-09-22/2025-09-28,-80.0,25
2025-07-14/2025-07-20,-83.0,3
2025-07-21/2025-07-27,-84.0,7
2025-08-18/2025-08-24,-89.0,14
2024-04-08/2024-04-14,-93.0,14
2026-01-05/2026-01-11,-96.0,20
2025-12-08/2025-12-14,-101.0,8
2026-06-22/2026-06-28,-104.0,33
2026-04-06/2026-04-12,-104.0,16
2024-07-29/2024-08-04,-117.0,68
2024-11-18/2024-11-24,-139.0,3
2025-05-19/2025-05-25,-142.0,2
2025-11-03/2025-11-09,-162.0,40
2024-04-22/2024-04-28,-173.0,62
2024-07-22/2024-07-28,-181.0,39
2025-12-29/2026-01-04,-192.0,3
2026-03-02/2026-03-08,-206.0,271
2025-01-06/2025-01-12,-245.0,9
2024-07-15/2024-07-21,-277.0,84
2024-06-03/2024-06-09,-282.0,22
2026-03-30/2026-04-05,-375.0,25
2026-03-16/2026-03-22,-384.0,55
2024-09-02/2024-09-08,-417.0,16
2025-03-31/2025-04-06,-436.0,22
2025-04-14/2025-04-20,-459.0,25
2026-04-20/2026-04-26,-567.0,32
2026-06-01/2026-06-07,-759.0,36
2024-04-15/2024-04-21,-775.0,100
2026-05-25/2026-05-31,-934.0,21
