Session,Contract,Min30sPriceMove
2025-06-11_N,202506,-51.0
2025-06-03_D,202506,-47.0
2025-06-04_N,202506,-47.0
2025-06-20_N,202507,-47.0
2025-06-18_N,202507,-45.0
2025-06-23_N,202507,-45.0
2025-06-10_N,202506,-43.0
2025-06-02_N,202506,-42.0
2025-06-10_D,202506,-42.0
2025-06-23_D,202507,-42.0
2025-06-11_D,202506,-41.0
2025-06-05_N,202506,-40.0
2025-06-02_D,202506,-39.0
2025-06-13_D,202506,-39.0
2025-06-06_D,202506,-38.0
2025-06-19_D,202507,-38.0
2025-06-20_D,202507,-37.0
2025-06-27_D,202507,-37.0
2025-06-30_D,202507,-37.0
2025-06-12_D,202506,-36.0
2025-06-24_D,202507,-36.0
2025-06-04_D,202506,-34.0
2025-06-17_D,202506,-34.0
2025-06-24_N,202507,-34.0
2025-06-16_D,202506,-33.0
2025-06-30_N,202507,-33.0
2025-06-06_N,202506,-32.0
2025-06-25_D,202507,-32.0
2025-06-26_D,202507,-32.0
2025-06-03_N,202506,-31.0
2025-06-18_D,202506,-31.0
2025-06-09_D,202506,-29.0
2025-06-27_N,202507,-29.0
2025-06-05_D,202506,-28.0
2025-06-17_N,202506,-27.0
2025-06-13_N,202506,-24.0
2025-06-12_N,202506,-23.0
2025-06-25_N,202507,-23.0
2025-06-26_N,202507,-23.0
2025-06-16_N,202506,-22.0
2025-06-19_N,202507,-19.0
2025-06-09_N,202506,-16.0
